date,x,y
12/04/2015 15:35:00,1449243300000,2.32
12/04/2015 15:40:00,1449243600000,2.33
12/04/2015 15:45:00,1449243900000,2.58
12/04/2015 15:50:00,1449244200000,2.42
12/04/2015 15:55:00,1449244500000,2.45
12/04/2015 16:00:00,1449244800000,2.63
12/04/2015 16:05:00,1449245100000,2.43
12/04/2015 16:10:00,1449245400000,3.18
12/04/2015 16:15:00,1449245700000,2.8
12/04/2015 16:20:00,1449246000000,2.73
12/04/2015 16:25:00,1449246300000,2.98
12/04/2015 16:30:00,1449246600000,3.24
12/04/2015 16:35:00,1449246900000,3.76
12/04/2015 16:40:00,1449247200000,3.38
12/04/2015 16:45:00,1449247500000,3.3
12/04/2015 16:50:00,1449247800000,2.49
12/04/2015 16:55:00,1449248100000,2.72
12/04/2015 17:00:00,1449248400000,2.46
12/04/2015 17:05:00,1449248700000,2.42
12/04/2015 17:10:00,1449249000000,2.88
12/04/2015 17:15:00,1449249300000,2.5
12/04/2015 17:20:00,1449249600000,2.41
12/04/2015 17:25:00,1449249900000,2.49
12/04/2015 17:30:00,1449250200000,2.68
12/04/2015 17:35:00,1449250500000,2.46
12/04/2015 17:40:00,1449250800000,2.63
12/04/2015 17:45:00,1449251100000,2.47
12/04/2015 17:50:00,1449251400000,2.56
12/04/2015 17:55:00,1449251700000,2.44
12/04/2015 18:00:00,1449252000000,2.57
12/04/2015 18:05:00,1449252300000,2.42
12/04/2015 18:10:00,1449252600000,2.73
12/04/2015 18:15:00,1449252900000,2.46
12/04/2015 18:20:00,1449253200000,2.58
12/04/2015 18:25:00,1449253500000,2.94
12/04/2015 18:30:00,1449253800000,3.25
12/04/2015 18:35:00,1449254100000,2.55
12/04/2015 18:40:00,1449254400000,2.46
12/04/2015 18:45:00,1449254700000,2.5
12/04/2015 18:50:00,1449255000000,3.05
12/04/2015 18:55:00,1449255300000,2.63
12/04/2015 19:00:00,1449255600000,3
12/04/2015 19:05:00,1449255900000,2.38
12/04/2015 19:10:00,1449256200000,2.6
12/04/2015 19:15:00,1449256500000,2.46
12/04/2015 19:20:00,1449256800000,2.63
12/04/2015 19:25:00,1449257100000,2.47
12/04/2015 19:30:00,1449257400000,2.49
12/04/2015 19:35:00,1449257700000,2.44
12/04/2015 19:40:00,1449258000000,2.46
12/04/2015 19:45:00,1449258300000,2.48
12/04/2015 19:50:00,1449258600000,2.62
12/04/2015 19:55:00,1449258900000,2.5
12/04/2015 20:00:00,1449259200000,2.67
12/04/2015 20:05:00,1449259500000,2.58
12/04/2015 20:10:00,1449259800000,2.91
12/04/2015 20:15:00,1449260100000,2.87
12/04/2015 20:20:00,1449260400000,2.7
12/04/2015 20:25:00,1449260700000,2.43
12/04/2015 20:30:00,1449261000000,2.52
12/04/2015 20:35:00,1449261300000,2.54
12/04/2015 20:40:00,1449261600000,2.45
12/04/2015 20:45:00,1449261900000,2.48
12/04/2015 20:50:00,1449262200000,2.58
12/04/2015 20:55:00,1449262500000,2.53
12/04/2015 21:00:00,1449262800000,2.64
12/04/2015 21:05:00,1449263100000,2.43
12/04/2015 21:10:00,1449263400000,2.61
12/04/2015 21:15:00,1449263700000,2.48
12/04/2015 21:20:00,1449264000000,2.57
12/04/2015 21:25:00,1449264300000,3.03
12/04/2015 21:30:00,1449264600000,2.99
12/04/2015 21:35:00,1449264900000,2.5
12/04/2015 21:40:00,1449265200000,2.65
12/04/2015 21:45:00,1449265500000,2.83
12/04/2015 21:50:00,1449265800000,2.85
12/04/2015 21:55:00,1449266100000,2.87
12/04/2015 22:00:00,1449266400000,3.31
12/04/2015 22:05:00,1449266700000,2.81
12/04/2015 22:10:00,1449267000000,3.32
12/04/2015 22:15:00,1449267300000,2.52
12/04/2015 22:20:00,1449267600000,2.57
12/04/2015 22:25:00,1449267900000,2.38
12/04/2015 22:30:00,1449268200000,2.74
12/04/2015 22:35:00,1449268500000,2.45
12/04/2015 22:40:00,1449268800000,2.49
12/04/2015 22:45:00,1449269100000,2.5
