date,x,y
12/04/15 11:10 PM,1449270600,2.6
12/04/15 11:15 PM,1449270900,2.45
12/04/15 11:20 PM,1449271200,2.59
12/04/15 11:25 PM,1449271500,2.41
12/04/15 11:30 PM,1449271800,2.59
12/04/15 11:35 PM,1449272100,2.43
12/04/15 11:40 PM,1449272400,2.45
12/04/15 11:45 PM,1449272700,2.5
12/04/15 11:50 PM,1449273000,2.47
12/04/15 11:55 PM,1449273300,2.47
12/05/15 12:00 AM,1449273600,2.51
12/05/15 12:05 AM,1449273900,2.41
12/05/15 12:10 AM,1449274200,2.8
12/05/15 12:15 AM,1449274500,2.48
12/05/15 12:20 AM,1449274800,2.56
12/05/15 12:25 AM,1449275100,2.34
12/05/15 12:30 AM,1449275400,2.47
12/05/15 12:35 AM,1449275700,2.89
12/05/15 12:40 AM,1449276000,2.54
12/05/15 12:45 AM,1449276300,2.4
12/05/15 12:50 AM,1449276600,2.56
12/05/15 12:55 AM,1449276900,2.4
12/05/15 01:00 AM,1449277200,2.64
12/05/15 01:05 AM,1449277500,2.66
12/05/15 01:10 AM,1449277800,2.78
12/05/15 01:15 AM,1449278100,2.68
12/05/15 01:20 AM,1449278400,2.45
12/05/15 01:25 AM,1449278700,2.27
12/05/15 01:30 AM,1449279000,2.28
12/05/15 01:35 AM,1449279300,2.11
12/05/15 01:40 AM,1449279600,2.33
12/05/15 01:45 AM,1449279900,2.41
12/05/15 01:50 AM,1449280200,2.37
12/05/15 01:55 AM,1449280500,2.39
12/05/15 02:00 AM,1449280800,2.62
12/05/15 02:05 AM,1449281100,2.51
12/05/15 02:10 AM,1449281400,2.77
12/05/15 02:15 AM,1449281700,2.48
12/05/15 02:20 AM,1449282000,2.44
12/05/15 02:25 AM,1449282300,2.5
12/05/15 02:30 AM,1449282600,2.52
12/05/15 02:35 AM,1449282900,2.46
12/05/15 02:40 AM,1449283200,2.6
12/05/15 02:45 AM,1449283500,2.49
12/05/15 02:50 AM,1449283800,2.6
12/05/15 02:55 AM,1449284100,2.47
12/05/15 03:00 AM,1449284400,2.41
12/05/15 03:05 AM,1449284700,2.39
12/05/15 03:10 AM,1449285000,2.79
12/05/15 03:15 AM,1449285300,2.55
12/05/15 03:20 AM,1449285600,2.58
12/05/15 03:25 AM,1449285900,2.47
12/05/15 03:30 AM,1449286200,2.63
12/05/15 03:35 AM,1449286500,2.47
12/05/15 03:40 AM,1449286800,2.6
12/05/15 03:45 AM,1449287100,2.5
12/05/15 03:50 AM,1449287400,2.45
12/05/15 03:55 AM,1449287700,2.53
12/05/15 04:00 AM,1449288000,2.5
12/05/15 04:05 AM,1449288300,2.9
12/05/15 04:10 AM,1449288600,2.83
12/05/15 04:15 AM,1449288900,2.48
12/05/15 04:20 AM,1449289200,2.45
12/05/15 04:25 AM,1449289500,2.47
12/05/15 04:30 AM,1449289800,2.64
12/05/15 04:35 AM,1449290100,2.46
12/05/15 04:40 AM,1449290400,2.63
12/05/15 04:45 AM,1449290700,2.51
12/05/15 04:50 AM,1449291000,2.66
12/05/15 04:55 AM,1449291300,2.48
12/05/15 05:00 AM,1449291600,2.5
12/05/15 05:05 AM,1449291900,2.57
12/05/15 05:10 AM,1449292200,2.61
12/05/15 05:15 AM,1449292500,2.49
12/05/15 05:20 AM,1449292800,2.5
12/05/15 05:25 AM,1449293100,2.55
12/05/15 05:30 AM,1449293400,2.53
12/05/15 05:35 AM,1449293700,2.48
12/05/15 05:40 AM,1449294000,2.5
12/05/15 05:45 AM,1449294300,2.52
12/05/15 05:50 AM,1449294600,2.48
12/05/15 05:55 AM,1449294900,2.47
12/05/15 06:00 AM,1449295200,2.51
12/05/15 06:05 AM,1449295500,2.48
12/05/15 06:10 AM,1449295800,2.84
12/05/15 06:15 AM,1449296100,2.53
12/05/15 06:20 AM,1449296400,2.66
12/05/15 06:25 AM,1449296700,2.52
12/05/15 06:30 AM,1449297000,2.6
12/05/15 06:35 AM,1449297300,2.51
12/05/15 06:40 AM,1449297600,2.49
12/05/15 06:45 AM,1449297900,2.51
12/05/15 06:50 AM,1449298200,2.63
12/05/15 06:55 AM,1449298500,2.51
12/05/15 07:00 AM,1449298800,2.67
12/05/15 07:05 AM,1449299100,2.48
12/05/15 07:10 AM,1449299400,2.65
12/05/15 07:15 AM,1449299700,2.5
12/05/15 07:20 AM,1449300000,2.6
12/05/15 07:25 AM,1449300300,2.47
12/05/15 07:30 AM,1449300600,2.67
12/05/15 07:35 AM,1449300900,2.47
12/05/15 07:40 AM,1449301200,2.6
12/05/15 07:45 AM,1449301500,2.5
12/05/15 07:50 AM,1449301800,2.65
12/05/15 07:55 AM,1449302100,2.5
12/05/15 08:00 AM,1449302400,2.72
12/05/15 08:05 AM,1449302700,2.68
12/05/15 08:10 AM,1449303000,2.76
12/05/15 08:15 AM,1449303300,2.52
12/05/15 08:20 AM,1449303600,2.6
12/05/15 08:25 AM,1449303900,2.48
12/05/15 08:30 AM,1449304200,2.49
12/05/15 08:35 AM,1449304500,2.49
12/05/15 08:40 AM,1449304800,2.67
12/05/15 08:45 AM,1449305100,2.82
12/05/15 08:50 AM,1449305400,3.33
12/05/15 08:55 AM,1449305700,2.66
12/05/15 09:00 AM,1449306000,3.36
12/05/15 09:05 AM,1449306300,2.54
12/05/15 09:10 AM,1449306600,2.62
12/05/15 09:15 AM,1449306900,2.5
12/05/15 09:20 AM,1449307200,2.51
12/05/15 09:25 AM,1449307500,2.47
12/05/15 09:30 AM,1449307800,2.66
12/05/15 09:35 AM,1449308100,2.45
12/05/15 09:40 AM,1449308400,2.46
12/05/15 09:45 AM,1449308700,2.47
12/05/15 09:50 AM,1449309000,2.45
12/05/15 09:55 AM,1449309300,2.47
12/05/15 10:00 AM,1449309600,2.46
12/05/15 10:05 AM,1449309900,2.47
12/05/15 10:10 AM,1449310200,2.64
12/05/15 10:15 AM,1449310500,2.46
12/05/15 10:20 AM,1449310800,2.44
12/05/15 10:25 AM,1449311100,2.46
12/05/15 10:30 AM,1449311400,2.5
12/05/15 10:35 AM,1449311700,2.45
12/05/15 10:40 AM,1449312000,2.6
12/05/15 10:45 AM,1449312300,2.48
12/05/15 10:50 AM,1449312600,2.58
12/05/15 10:55 AM,1449312900,2.48
12/05/15 11:00 AM,1449313200,2.62
12/05/15 11:05 AM,1449313500,2.4
12/05/15 11:10 AM,1449313800,2.75
12/05/15 11:15 AM,1449314100,2.51
12/05/15 11:20 AM,1449314400,2.52
12/05/15 11:25 AM,1449314700,2.47
12/05/15 11:30 AM,1449315000,2.52
12/05/15 11:35 AM,1449315300,2.47
12/05/15 11:40 AM,1449315600,2.65
12/05/15 11:45 AM,1449315900,2.49
12/05/15 11:50 AM,1449316200,2.48
12/05/15 11:55 AM,1449316500,2.51
12/05/15 12:00 PM,1449316800,2.68
12/05/15 12:05 PM,1449317100,2.9
12/05/15 12:10 PM,1449317400,2.66
12/05/15 12:15 PM,1449317700,3.13
12/05/15 12:20 PM,1449318000,2.87
